episode,winRate,avgReturn,avgSteps,tier
2000,0.0695,-216.32,77.09,easy
4000,0.1000,-208.29,76.54,easy
6000,0.1165,-203.28,76.14,easy
8000,0.1325,-200.10,75.90,easy
10000,0.1530,-193.40,75.47,easy
12000,0.1925,-185.49,74.68,easy
14000,0.2285,-175.99,73.64,easy
16000,0.2735,-166.21,72.49,easy
18000,0.2950,-160.97,71.33,easy
20000,0.3560,-146.60,69.61,easy
22000,0.3745,-141.65,68.65,easy
24000,0.4380,-129.71,67.18,easy
26000,0.5105,-112.37,64.68,easy
28000,0.5235,-109.01,64.18,easy
30000,0.5530,-101.10,62.86,easy
32000,0.5845,-93.25,61.64,easy
34000,0.6440,-78.30,59.18,easy
36000,0.6825,-67.66,57.08,easy
38000,0.7495,-50.65,53.75,easy
40000,0.7655,-46.79,53.16,easy
42000,0.7740,-44.77,54.01,medium
44000,0.8455,-20.87,49.32,medium
46000,0.8870,-4.80,45.58,medium
48000,0.9070,0.22,44.81,medium
50000,0.9060,3.82,43.48,medium
52000,0.9100,5.74,42.96,medium
54000,0.9130,3.37,43.36,medium
56000,0.9560,17.66,40.39,medium
58000,0.9520,22.03,38.52,medium
60000,0.9555,16.73,40.05,medium
62000,0.9660,24.14,37.43,medium
64000,0.9670,32.24,35.10,medium
66000,0.9720,36.62,33.79,medium
68000,0.9790,42.63,31.85,medium
70000,0.9740,40.13,31.79,medium
72000,0.9840,47.80,29.95,medium
74000,0.9825,50.77,28.62,medium
76000,0.9890,54.15,27.18,medium
78000,0.9830,48.71,28.96,medium
80000,0.9875,57.22,26.15,medium
82000,0.9885,59.59,25.43,medium
84000,0.9870,61.80,24.18,medium
86000,0.9840,53.77,26.32,medium
88000,0.9930,62.47,23.97,medium
90000,0.9940,66.77,22.66,medium
92000,0.9950,69.49,21.26,medium
94000,0.9920,65.25,22.77,medium
96000,0.9925,67.46,21.75,medium
98000,0.9935,63.96,22.01,medium
100000,0.9915,64.34,22.00,medium
102000,0.9960,67.89,20.89,medium
104000,0.9960,69.33,20.20,medium
106000,0.9925,68.14,20.64,medium
108000,0.9865,67.62,20.32,medium
110000,0.9945,74.43,18.85,medium
112000,0.9990,80.37,16.67,medium
114000,0.9980,81.20,16.38,medium
116000,0.9930,73.89,18.10,medium
118000,0.9980,83.54,15.64,medium
120000,0.9985,84.78,15.03,medium
122000,0.9655,60.86,24.53,adversarial
124000,0.9665,59.87,24.47,adversarial
126000,0.9795,64.02,22.73,adversarial
128000,0.9865,69.57,22.04,adversarial
130000,0.9930,72.71,21.15,adversarial
132000,0.9890,73.11,21.17,adversarial
134000,0.9945,75.53,19.49,adversarial
136000,0.9875,69.02,21.96,adversarial
138000,0.9950,71.78,20.55,hard
140000,0.9905,68.97,20.70,adversarial
142000,0.9940,71.12,19.60,hard
144000,0.9945,71.21,19.47,hard
146000,0.9885,69.52,20.98,adversarial
148000,0.9930,70.44,20.96,hard
150000,0.9890,69.69,21.14,hard
152000,0.9790,66.04,21.34,hard
154000,0.9845,67.40,20.98,hard
156000,0.9880,68.60,20.44,adversarial
158000,0.9820,67.13,20.75,hard
160000,0.9895,69.41,20.31,hard
162000,0.9935,70.66,19.92,hard
164000,0.9875,69.30,20.41,hard
166000,0.9885,69.05,20.17,hard
168000,0.9885,69.55,20.06,hard
170000,0.9850,68.29,20.52,adversarial
172000,0.9865,68.99,20.27,hard
174000,0.9870,68.52,20.35,adversarial
176000,0.9885,69.85,20.22,hard
178000,0.9875,69.07,20.83,adversarial
180000,0.9875,69.34,20.47,hard
182000,0.9915,70.56,20.24,hard
184000,0.9880,68.97,20.54,adversarial
186000,0.9930,70.96,20.04,hard
188000,0.9915,71.02,20.11,hard
190000,0.9890,69.70,20.28,hard
192000,0.9865,68.54,20.70,adversarial
194000,0.9880,69.45,20.53,adversarial
196000,0.9910,70.44,20.12,hard
198000,0.9930,70.53,20.21,hard
200000,0.9900,70.19,20.13,adversarial
